tasks,variants,memory,xml,generator,description
1,183001,57663488,351,126,758
1,184001,57663488,351,146,1003
1,185001,57663488,351,126,757
1,186001,57663488,351,128,764
1,187001,57663488,351,127,761
1,188001,57663488,351,125,757
1,189001,57663488,351,125,759
1,190001,57663488,351,126,983
1,191001,57663488,351,126,856
1,192001,57663488,351,125,820
1,193001,57663488,351,127,759
1,194001,57663488,351,127,761
1,195001,57663488,351,247,770
1,196001,57663488,351,126,761
1,197001,57663488,351,126,766
1,198001,57663488,351,126,766
1,199001,57663488,351,126,776
1,200001,57663488,351,126,761
1,201001,57663488,351,126,785
1,202001,57663488,351,128,765
1,203001,57663488,351,126,810
1,204001,57663488,351,128,757
1,205001,57663488,351,271,1467
1,206001,57663488,351,127,764
1,207001,57663488,351,128,761
1,208001,57663488,351,126,764
1,209001,57663488,351,126,763
1,210001,57663488,351,125,794
1,211001,57663488,351,126,760
1,212001,57663488,351,128,1218
1,213001,57663488,351,128,762
1,214001,57663488,351,126,1043
1,215001,57663488,351,125,753
1,216001,57663488,351,127,761
1,217001,57663488,351,127,760
1,218001,57663488,351,127,760
1,219001,57663488,351,126,759
1,220001,57663488,351,127,759
1,221001,57663488,351,126,758
1,222001,57663488,351,126,777
1,223001,57663488,351,128,759
1,224001,57663488,351,127,759
1,225001,57663488,351,127,785
1,226001,57663488,351,127,770
1,227001,57663488,351,126,771
1,228001,57663488,351,163,1018
1,229001,57663488,351,125,766
1,230001,57663488,351,127,757
1,231001,57663488,351,126,754
1,232001,57663488,351,270,1475
1,233001,57663488,351,126,762
1,234001,57663488,351,127,757
1,235001,57663488,351,128,1088
1,236001,57663488,351,126,762
1,237001,57663488,351,126,763
1,238001,57663488,351,126,757
1,239001,57663488,351,126,759
1,240001,57663488,351,127,757
1,241001,57663488,351,128,762
1,242001,57663488,351,127,759
1,243001,57663488,351,126,758
1,244001,57663488,351,126,765
1,245001,57663488,351,126,759
1,246001,57663488,351,126,765
1,247001,57663488,351,126,758
1,248001,57663488,351,126,759
1,249001,57663488,351,244,769
1,250001,57663488,351,185,761
1,251001,57663488,351,126,762
1,252001,57663488,351,126,763
1,253001,57663488,351,126,840
1,254001,57663488,351,127,760
1,255001,57663488,351,128,763
1,256001,57663488,351,126,757
1,257001,57663488,351,126,766
